,Round Name,Battle ID,Team 1 ID,Team 2 ID,Team 1 Team Name,Team 1 front1 Gotchi Special ID,Team 1 front2 Gotchi Special ID,Team 1 front3 Gotchi Special ID,Team 1 front4 Gotchi Special ID,Team 1 front5 Gotchi Special ID,Team 1 back1 Gotchi Special ID,Team 1 back2 Gotchi Special ID,Team 1 back3 Gotchi Special ID,Team 1 back4 Gotchi Special ID,Team 1 back5 Gotchi Special ID,Team 1 leader Gotchi Special ID,Team 1 sub1 Gotchi Special ID,Team 1 sub2 Gotchi Special ID,Team 2 Team Name,Team 2 front1 Gotchi Special ID,Team 2 front2 Gotchi Special ID,Team 2 front3 Gotchi Special ID,Team 2 front4 Gotchi Special ID,Team 2 front5 Gotchi Special ID,Team 2 back1 Gotchi Special ID,Team 2 back2 Gotchi Special ID,Team 2 back3 Gotchi Special ID,Team 2 back4 Gotchi Special ID,Team 2 back5 Gotchi Special ID,Team 2 leader Gotchi Special ID,Team 2 sub1 Gotchi Special ID,Team 2 sub2 Gotchi Special ID
0,Round 5,0031dafe-88ed-4390-8d67-8df9b7c4d71d,180866,171221,Portal Mages 5,1,,4,,2,,8,,6,,2,,,Sandro 1,1,1,,1,1,,,6,,,1,,
1,Round 5,035457c8-2c20-4caf-b2b7-4bb0452217c6,178123,178264,Sales.team,,5,,5,,2,,7,,6,7,,,The worst troll team you'll ever gonna meet,,2,,6,,8,,8,,8,8,,
2,Round 5,07b8c84f-b0d5-4032-bd4b-ffba10ed1dd7,174071,181613,BRS,1,1,,1,1,,,4,,,1,,,samie 02,2,,2,,2,,6,,1,,2,,
3,Round 5,17c2f0b7-2307-4e1d-9ae7-dd16a68ab143,178359,170755,(  ͡° ͜ʖ ͡° ),2,,4,,2,,5,,6,,4,,,moist,3,,4,,1,,5,,7,,3,,
4,Round 5,18ad6dbd-6dfe-4f6e-92c2-05dbf829ae00,180275,180227,AB7,,7,,7,,7,,7,,7,7,,,Snappi,,7,,7,,8,,8,,5,8,,
5,Round 5,1cd8b677-a939-42c3-a183-03d55550add2,181847,171536,It is what it is,,,,,,1,1,4,6,1,4,,,The Piss,6,,8,,7,,5,,3,,3,,
6,Round 5,229165c9-7e5e-42b0-a1b0-b13c2ec235b5,170544,177909,Rage Quitters,,7,,8,,8,,6,,8,8,,,OG,,5,,7,,5,,6,,3,5,,
7,Round 5,24747df5-c048-4b0b-836d-8ac21fdc7c48,169841,182462,DAO,,1,,4,,7,,3,,5,7,,,samie 06,,7,,4,,6,,1,,8,4,,
8,Round 5,254e4afe-d459-4deb-8c53-b019b8d8a22b,172990,174235,[HCF] witchybishys,7,,7,,3,,6,,4,,6,,,GFA 4,5,6,4,7,1,,,,,,6,,
9,Round 5,30d1a071-88dd-4af1-bc8e-ab918634ba0c,181427,182432,porsche,,6,,3,,1,,5,,3,6,,,Ogi c,,5,,8,,8,,1,,1,5,,
10,Round 5,36e48d86-c5ac-4ebb-9798-91b187ff13b7,178100,169663,PUSKALS,4,,6,,4,,1,,6,,6,,,Singer 4,,,5,,,7,3,,7,5,3,,
11,Round 5,392d80d6-3ee0-44d8-9565-c435bd74ea02,180955,172194,Portal Mages 8,3,,6,,2,,3,,6,,6,,,stamina,3,,4,,8,,7,,7,,4,,
12,Round 5,3e022801-ed25-4a14-b4c1-ef72c9404e5d,181112,182146,つ◕ل͜◕)つ,,4,,4,,7,,7,,7,7,,,The Top Gs,,4,,4,,7,,3,,6,7,,
13,Round 5,42279137-1382-4c86-b1a3-d967b0faec43,179504,171533,SparkleLy,5,7,,4,1,,,3,,,5,,,Power Rangers Alpha,,4,,4,,1,,5,,8,1,,
