,Round Name,Battle ID,Team 1 ID,Team 2 ID,Team 1 Team Name,Team 1 front1 Gotchi Special ID,Team 1 front2 Gotchi Special ID,Team 1 front3 Gotchi Special ID,Team 1 front4 Gotchi Special ID,Team 1 front5 Gotchi Special ID,Team 1 back1 Gotchi Special ID,Team 1 back2 Gotchi Special ID,Team 1 back3 Gotchi Special ID,Team 1 back4 Gotchi Special ID,Team 1 back5 Gotchi Special ID,Team 1 leader Gotchi Special ID,Team 1 sub1 Gotchi Special ID,Team 1 sub2 Gotchi Special ID,Team 2 Team Name,Team 2 front1 Gotchi Special ID,Team 2 front2 Gotchi Special ID,Team 2 front3 Gotchi Special ID,Team 2 front4 Gotchi Special ID,Team 2 front5 Gotchi Special ID,Team 2 back1 Gotchi Special ID,Team 2 back2 Gotchi Special ID,Team 2 back3 Gotchi Special ID,Team 2 back4 Gotchi Special ID,Team 2 back5 Gotchi Special ID,Team 2 leader Gotchi Special ID,Team 2 sub1 Gotchi Special ID,Team 2 sub2 Gotchi Special ID
0,Round 8,00701677-f5bc-4c36-889c-d61e42845313,171914,170332,Tommy Gotchi 1.0,1,,4,,1,,6,,3,,6,,,Revenge of the Schweinz,,,,,,3,1,8,1,6,8,,
1,Round 8,00c459c4-1c39-4d6e-9f8f-bfd829016925,181832,175420,Tarteiras,,6,,4,,7,,1,,3,6,,,Aavesome,,3,,4,,1,,7,,1,3,,
2,Round 8,035ad03e-3669-4f9b-96f1-c8ea3e8dc617,181858,177989,No Bluff,,,,,,7,7,4,6,7,4,,,Hanhuijun Kai,,,4,,,3,5,,6,7,3,,
3,Round 8,056586a0-7464-4cef-9e34-553223c73f20,171753,181311,Cloclo and those claudette,,,4,,,6,3,,1,5,6,,,Macaroon,,,6,,,4,6,,5,1,6,,
4,Round 8,11a2ef93-1d54-4ec6-9ba7-d2e7098a241f,182125,180796,Shade Cursey,,,4,,,3,1,,5,7,5,,,Portal Mages 4,5,,6,,1,,3,,3,,6,,
5,Round 8,16a60694-9661-4f62-9425-5613020db0bd,182407,178202,gambino v2,,,,,,3,8,5,7,6,5,,,Fette Bullette,,,4,,,3,1,,3,5,5,,
6,Round 8,182e0230-afe6-4bcb-8c76-123eab89a0b8,180581,181743,ZZZ,,,,,,5,7,1,2,6,6,,,Machete,,6,,4,,7,,7,,7,7,,
7,Round 8,1dd8d62f-52f7-4372-ab94-6773f1cac754,178141,182437,Maui maulers,,,4,,,5,7,,3,1,5,,,Wagfreedom,,6,,6,,1,,7,,1,6,,
8,Round 8,1fa0cdde-463f-499f-bdf5-2b1073ed3306,174970,181981,Dely 4,8,,8,,8,,4,,4,,8,,,SlickF,,2,,2,,5,,5,,1,5,,
9,Round 8,2d206f2e-2cdf-45a3-ba7b-addbb790f44f,181315,172921,Rasp,,6,,6,,3,,1,,5,6,,,Hobbes Crew,,2,,3,,7,,6,,1,6,,
10,Round 8,320929fc-f470-401f-994a-ae92bece56dd,175468,181359,No Respec,,7,,8,,8,,6,,8,8,,,Buffalo DeGotchi 2,,2,,2,,8,,6,,5,6,,
11,Round 8,344163a3-8414-4e72-b911-f45bd56f8ae8,175421,181896,Love is still alive,5,,4,,2,,6,,7,,6,,,SlickA,,,7,,,8,8,,4,6,8,,
12,Round 8,35a735a1-a9c0-42cf-b0b2-665785174a6e,182126,180286,Substitutes,,7,,6,,7,,7,,4,7,,,Haram,,6,,2,,7,,6,,7,7,,
13,Round 8,3b7d4996-854b-4ade-94cb-5b0a7d7250e5,170544,181267,Rage Quitters,,7,,8,,8,,6,,8,8,,,Harriet,,2,,6,,6,,1,,2,6,,
14,Round 8,3d917a1d-ba95-4220-9d09-b3681a425e84,182360,173575,Chain Lightning,,4,,7,,7,,7,,6,7,,,Virginie's Victory V,8,,2,,1,,1,,6,,2,,
15,Round 8,3f65fa1a-82b8-4cf9-b6cc-5b5a842cefeb,174032,180703,Heroes and Heretics,6,,5,,5,,5,,7,,6,,,Portal Mages 2,5,,6,,7,,5,,7,,6,,
16,Round 8,592329bc-c8f5-42bf-adc1-2080a1c6c125,174971,171668,Dely 5,,,6,,,1,8,,8,5,6,,,Wagmi's Mages,,7,,7,,7,,7,,7,7,,
17,Round 8,68237053-810b-4c2f-a5c8-d238f51f9413,181705,181320,samie 07,8,6,,6,8,,,8,,,8,,,godzilla,,8,,6,,6,,2,,3,6,,
18,Round 8,69c66f01-96c6-455a-a4e3-89fa13b8f469,181628,182053,BLEED MY CURSED BEAVERS,,3,,5,,1,,5,,3,5,,,RUN02,6,,2,,2,,6,,1,,6,,
19,Round 8,7af7ad50-5588-4bc0-9ca5-da1a2bfae255,174234,181301,GFA 3,,,2,,,5,7,,1,8,2,,,YFI,,2,,5,,3,,1,,7,2,,
20,Round 8,7e82a7b0-ed2e-4846-b3fe-1b54497ba9d0,172616,178415,Team DAIddy Kong,2,,4,,6,,1,,8,,2,,,Flex in Flexible,6,,2,,6,,1,,5,,6,,
21,Round 8,8ce691a5-c3d3-4246-a225-0872e17f1136,181462,174233,Hot Drop the Tender Trousers,,,,,,3,5,2,6,5,5,,,GFA 2,,,,,,7,4,4,7,2,2,,
22,Round 8,a5e9ddc3-74d7-415b-ae6e-77d7abc1d908,172730,171781,Team Joan,,4,,2,,5,,7,,6,2,,,Chamallow,6,,4,,2,,1,,6,,6,,
