Bracket,Round Name,Battle ID,Team 1 ID,Team 2 ID
Winner,Round 1,00ab3d92-a990-4377-a22f-d1c5e8fb0ee6,171241.0,180273.0
Winner,Round 1,00b508ae-6b73-4f70-b01f-37e6e9c3033b,182329.0,171870.0
Winner,Round 1,0136f318-f99f-42b2-95d2-3a9a8bf27259,181483.0,181535.0
Winner,Round 1,015ce867-91f5-4497-8b49-be5ad2cd8efa,172272.0,175233.0
Winner,Round 1,022624f0-3a98-4195-ac9d-9e22d2e96fbb,170419.0,175551.0
Winner,Round 1,0232e5df-086f-4c97-8695-f37d2ad569cf,171668.0,182374.0
Winner,Round 1,0343a187-d507-4e90-b137-071fcc685c46,180220.0,174894.0
Winner,Round 1,0363316a-f316-43a4-bffc-d9cdee3048ac,180742.0,175562.0
Winner,Round 1,04b2c6a1-df7b-43fe-be79-dcde7646356d,180195.0,176898.0
Winner,Round 1,0568241f-0cb1-4510-9aed-8d0f95ef1259,182274.0,171042.0
Winner,Round 1,0586647a-e5ee-4986-85ef-453b5437e5e2,171773.0,175136.0
Winner,Round 1,05877d85-abb5-4680-8216-0222b771dce5,175459.0,172578.0
Winner,Round 1,05d93c73-fe71-4bd6-b1c6-02919716684d,176060.0,
Winner,Round 1,0614d85c-666f-47f9-85e6-5e35017dba0a,169885.0,177779.0
Winner,Round 1,063461db-969d-4a48-b669-686a08f0f86a,181968.0,172569.0
Winner,Round 1,0657fe76-977e-4bdf-9335-5229a787e8e4,180358.0,182200.0
Winner,Round 1,06cf7eb1-1134-43ae-86c6-15b5a7990946,182463.0,181358.0
Winner,Round 1,06e28136-3775-4292-ac19-ba5158a773ee,178359.0,175137.0
Winner,Round 1,077cc170-155c-4c3c-9851-5af163b133e4,171313.0,181263.0
Winner,Round 1,078a7498-87fb-4e3c-b462-cc13c5382ed7,180109.0,172819.0
Winner,Round 1,080f8ea9-7fcd-4734-b6e8-8556f8611bcf,178163.0,175140.0
Winner,Round 1,0955dd4a-4e3c-4165-ada7-054145f1a678,181311.0,
Winner,Round 1,09b46bd2-50ca-4dd2-b24f-c26d7277eccd,170623.0,181136.0
Winner,Round 1,09c3cdf9-ad97-4ba4-a9b0-4bba473f4659,180436.0,171225.0
Winner,Round 1,09c94753-93de-4d58-891a-80de940a2cfb,180703.0,
