,Round Name,Battle ID,Team 1 ID,Team 2 ID,Team 1 Team Name,Team 1 front1 Gotchi Special ID,Team 1 front2 Gotchi Special ID,Team 1 front3 Gotchi Special ID,Team 1 front4 Gotchi Special ID,Team 1 front5 Gotchi Special ID,Team 1 back1 Gotchi Special ID,Team 1 back2 Gotchi Special ID,Team 1 back3 Gotchi Special ID,Team 1 back4 Gotchi Special ID,Team 1 back5 Gotchi Special ID,Team 1 leader Gotchi Special ID,Team 1 sub1 Gotchi Special ID,Team 1 sub2 Gotchi Special ID,Team 2 Team Name,Team 2 front1 Gotchi Special ID,Team 2 front2 Gotchi Special ID,Team 2 front3 Gotchi Special ID,Team 2 front4 Gotchi Special ID,Team 2 front5 Gotchi Special ID,Team 2 back1 Gotchi Special ID,Team 2 back2 Gotchi Special ID,Team 2 back3 Gotchi Special ID,Team 2 back4 Gotchi Special ID,Team 2 back5 Gotchi Special ID,Team 2 leader Gotchi Special ID,Team 2 sub1 Gotchi Special ID,Team 2 sub2 Gotchi Special ID
0,Round 6,0358c12a-1dc3-40d9-ae7f-63598ebc99fe,181874,178609,NGMI Far,,,,,,3,5,2,4,7,3,,,NGMI,8,1,,1,7,,,6,,,6,,
1,Round 6,12b11dd1-7599-4f5b-bb3b-60a9941965cb,179515,181396,The Unicorn,4,,5,,1,,3,,6,,4,,,kings,,2,,6,,3,,5,,6,6,,
2,Round 6,17d71974-fb08-4bfb-be05-19601eae56aa,178418,172598,B Squad,,4,,4,,5,,1,,3,5,,,CHRONOS - Ghost Recon Unit,,2,,3,,5,,7,,5,7,,
3,Round 6,18e46274-8519-4144-ae6a-ddcd3adf0638,172273,178495,mk,8,4,8,8,8,,,,,,8,,,troop stomper,5,,7,,8,,8,,8,,5,,
4,Round 6,1c15737e-177d-4133-a230-edb712080caa,181437,173220,madmax,8,,5,,8,,4,,1,,1,,,TT,,4,,4,,3,,6,,7,6,,
5,Round 6,28f17e43-981b-4a85-ac35-5a79895c4052,181463,182125,CryptoGreen2,,6,,6,,8,,3,,8,6,,,Shade Cursey,,,4,,,3,1,,5,7,5,,
6,Round 6,2d531872-7816-4775-9905-9b67ed694ebc,181953,172730,SlickB,,6,,2,,6,,4,,5,6,,,Team Joan,,4,,2,,5,,7,,6,2,,
7,Round 6,324b01ea-a079-467d-b4c0-e776da8d2069,181256,170258,Chad,,2,,6,,6,,3,,1,6,,,Alles Kaput,,,,,,5,5,1,3,5,5,,
8,Round 6,411a85f1-54e5-4d4e-9724-d9b5b977ea86,182463,174971,samie 05,6,7,,3,5,,,1,,,1,,,Dely 5,,,4,,,7,7,,7,7,7,,
9,Round 6,43362b69-4341-4ab4-aa9a-9c679dc6814f,178123,181628,Sales.team,,5,,5,,2,,7,,6,7,,,BLEED MY CURSED BEAVERS,,,5,,,1,3,,5,3,5,,
10,Round 6,4b5ccb7c-df30-43dc-b60f-b66a05bf44bd,172986,181858,NADIELATORS,5,,7,,3,,8,,4,,5,,,No Bluff,,,,,,7,7,4,6,7,4,,
11,Round 6,4d7d3a2b-e53f-419a-a413-897796c45990,181694,178315,samie 03,4,,8,,4,,6,,7,,6,,,welp,,,,,,5,5,3,7,1,5,,
12,Round 6,4df4f026-e3f7-49a0-b0de-aa9189952f29,176082,182132,FrogForce,,,,,,5,3,7,6,3,5,,,Not Sure,,4,,7,,7,,7,,3,7,,
13,Round 6,4e645525-cbca-45e0-ab3e-632e7f2f2787,182462,172280,samie 06,,4,,7,,6,,1,,1,1,,,bolty,7,,7,,7,,7,,7,,7,,
14,Round 6,5306107d-4a42-4834-ba03-6ad4f75b3f81,170544,181380,Rage Quitters,,7,,8,,8,,6,,8,8,,,tortuga,,6,,4,,5,,3,,3,6,,
15,Round 6,545e6e06-4a69-4d5f-aa1d-1f49c9956fde,182470,174234,Ogi m,6,7,7,7,7,,,,,,7,,,GFA 3,,,2,,,5,7,,1,8,2,,
16,Round 6,5b31ecca-3fc1-4169-9d63-b27e632f92f7,181453,181462,bm,,4,,8,,5,,7,,8,5,,,Hot Drop the Tender Trousers,,2,,6,,7,,7,,7,6,,
17,Round 6,5ea03714-c475-4eac-b721-808c0da934ff,179501,171746,Alcoholics II,1,,4,,8,,5,,6,,4,,,Wagmi's Rushers,,5,,5,,1,,1,,8,5,,
18,Round 6,6253baea-ac0e-480c-b84d-7f73f438d36a,181579,178242,TANK ME LATER,,2,,5,,4,,6,,4,6,,,Two Steps From Hell,,,7,,,6,7,,1,1,7,,
