,Round Name,Battle ID,Team 1 ID,Team 2 ID,Team 1 Team Name,Team 1 front1 Gotchi Special ID,Team 1 front2 Gotchi Special ID,Team 1 front3 Gotchi Special ID,Team 1 front4 Gotchi Special ID,Team 1 front5 Gotchi Special ID,Team 1 back1 Gotchi Special ID,Team 1 back2 Gotchi Special ID,Team 1 back3 Gotchi Special ID,Team 1 back4 Gotchi Special ID,Team 1 back5 Gotchi Special ID,Team 1 leader Gotchi Special ID,Team 1 sub1 Gotchi Special ID,Team 1 sub2 Gotchi Special ID,Team 2 Team Name,Team 2 front1 Gotchi Special ID,Team 2 front2 Gotchi Special ID,Team 2 front3 Gotchi Special ID,Team 2 front4 Gotchi Special ID,Team 2 front5 Gotchi Special ID,Team 2 back1 Gotchi Special ID,Team 2 back2 Gotchi Special ID,Team 2 back3 Gotchi Special ID,Team 2 back4 Gotchi Special ID,Team 2 back5 Gotchi Special ID,Team 2 leader Gotchi Special ID,Team 2 sub1 Gotchi Special ID,Team 2 sub2 Gotchi Special ID
0,Round 2,01754dc4-ca66-4eef-bc7d-17e906e01bc6,181463,172599,CryptoGreen2,,6,,6,,8,,3,,8,8,,,Noss,8,,5,,5,,3,,7,,3,,
1,Round 2,0633d27e-c80f-4657-9101-e0d8d417e7d7,180188,181501,Cut It,,,2,,,3,3,,3,3,2,,,oh my,,4,,4,,5,,1,,1,1,,
2,Round 2,0942d1bb-71b3-4082-a880-1e94ffeca87c,172864,172348,Wagturtles,6,,8,,8,,6,,4,,6,,,Volcano High,1,,3,,1,,1,,6,,1,,
3,Round 2,09974b71-5de8-4e3a-bbe6-8bab3caad42f,172991,171734,[HCF] hotcurlyfries,5,,1,,8,,6,,4,,6,,,Wagmi Remembers,,5,,2,,8,,6,,8,8,,
4,Round 2,0c502d99-652f-451f-90c7-2bb6a7291def,180109,182207,RUN06,5,5,5,5,5,,,,,,5,,,DuuTeam,2,4,,2,5,,,3,,,4,,
5,Round 2,0dd3cda9-2355-42ea-817d-7f61391cf733,172598,171760,CHRONOS - Ghost Recon Unit,,2,,3,,5,,7,,5,7,,,Jackson five,,4,,4,,7,,3,,1,7,,
6,Round 2,0dddfa08-4b7d-4168-a53e-4859b045db04,180192,178292,Team D,,4,,8,,3,,6,,3,6,,,mighty moes,1,,5,,3,,6,,7,,6,,
7,Round 2,0f6de10c-7ddd-4b42-a233-f37a765f0472,181743,181534,Machete,,6,,4,,7,,7,,7,7,,,CryptoGreen10,2,,5,,1,,2,,3,,2,,
8,Round 2,0fb6b70e-5708-4287-a87c-e13df6646f35,170076,179522,MEA CULPA,,,2,,,5,5,,5,5,2,,,Alcoholics III,2,,7,,2,,1,,3,,1,,
9,Round 2,0fd5299c-eb48-4b2d-985c-1d5fc04b5472,177989,181264,Hanhuijun Kai,,,4,,,3,5,,6,7,3,,,RUN13,1,1,1,5,6,,,,,,1,,
10,Round 2,12fe2017-a1b6-4b2f-98bc-46a190cf8925,182437,172309,Wagfreedom,,6,,6,,7,,6,,1,6,,,quark axe,,3,,3,,3,,3,,3,3,,
11,Round 2,13bea0c6-2aa6-4cdd-bed9-827a0449c13c,172160,172334,kinkai,7,6,1,7,6,,,,,,7,,,cook,3,,6,,3,,3,,6,,3,,
12,Round 2,14a94192-bc02-4735-88bd-69eae385bcd2,171922,181694,Vici 2,5,,3,,8,,1,,5,,8,,,samie 03,,4,,8,,5,,1,,7,5,,
13,Round 2,15305554-96fb-4150-9c3c-7afcdd8fe008,182217,175490,Fenosas,,4,,4,,2,,6,,2,2,,,Soul Suckas,2,,7,,8,,4,,1,,2,,
14,Round 2,1592cb97-12e6-42c1-b884-b6a3c55967c5,180316,181916,Yolo,,,,,,2,7,6,1,1,6,,,Team Last Minute,,,,,,8,3,6,3,8,6,,
15,Round 2,1704f9ba-c634-4469-9a93-7519dea5b0b3,181968,176169,SlickC,,,4,,,6,5,,1,1,5,,,King of Fists and Dollars,4,,2,,4,,4,,3,,4,,
16,Round 2,17ff2542-fc52-41eb-a783-f3fa353aecbf,179649,178224,Kulalongis™,,8,,8,,2,,6,,5,2,,,Metal Gear Solid,1,,1,,1,,6,,1,,1,,
17,Round 2,19683d05-28bd-443f-a68c-743724fa2cc6,178418,181097,B Squad,,4,,4,,5,,1,,3,5,,,Wagreach,,5,,5,,5,,5,,8,5,,
18,Round 2,1a74a45c-fc5f-4a06-a91d-43738a312f62,171710,171466,yoloooo,,,4,,,8,3,,3,5,4,,,Ties Squad one,5,3,4,7,3,,,,,,5,,
19,Round 2,1bd8094f-edf9-458a-883f-65311ac48312,174233,181500,GFA 2,,,,,,7,4,4,7,2,2,,,wd,8,,8,,8,,4,,8,,8,,
20,Round 2,1c1cb570-b9e7-4d1e-ac91-d0ee7b39a61c,171465,169663,SUMMONER,,2,,1,,7,,3,,5,1,,,Singer 4,,,5,,,7,3,,7,5,3,,
