,Round Name,Battle ID,Team 1 ID,Team 2 ID,Team 1 Team Name,Team 1 front1 Gotchi Special ID,Team 1 front2 Gotchi Special ID,Team 1 front3 Gotchi Special ID,Team 1 front4 Gotchi Special ID,Team 1 front5 Gotchi Special ID,Team 1 back1 Gotchi Special ID,Team 1 back2 Gotchi Special ID,Team 1 back3 Gotchi Special ID,Team 1 back4 Gotchi Special ID,Team 1 back5 Gotchi Special ID,Team 1 leader Gotchi Special ID,Team 1 sub1 Gotchi Special ID,Team 1 sub2 Gotchi Special ID,Team 2 Team Name,Team 2 front1 Gotchi Special ID,Team 2 front2 Gotchi Special ID,Team 2 front3 Gotchi Special ID,Team 2 front4 Gotchi Special ID,Team 2 front5 Gotchi Special ID,Team 2 back1 Gotchi Special ID,Team 2 back2 Gotchi Special ID,Team 2 back3 Gotchi Special ID,Team 2 back4 Gotchi Special ID,Team 2 back5 Gotchi Special ID,Team 2 leader Gotchi Special ID,Team 2 sub1 Gotchi Special ID,Team 2 sub2 Gotchi Special ID
0,Round 1,00ab3d92-a990-4377-a22f-d1c5e8fb0ee6,171241,180273.0,sltcv,,,4,,,7,3,,5,8,5,,,AB5,2,,2,,2,,8,,8,,2,,
1,Round 1,00b508ae-6b73-4f70-b01f-37e6e9c3033b,182329,171870.0,Scrooger's Syndicate,,4,,6,,1,,6,,7,1,,,Vile SeaBass,7,7,,8,2,,,5,,,5,,
2,Round 1,0136f318-f99f-42b2-95d2-3a9a8bf27259,181483,181535.0,ms,,2,,3,,5,,5,,3,3,,,CryptoGreen11,,2,,4,,7,,6,,7,6,,
3,Round 1,015ce867-91f5-4497-8b49-be5ad2cd8efa,172272,175233.0,km,8,,6,,8,,8,,8,,8,,,pwn j00 n00bz,,,,,,4,7,3,5,4,4,,
4,Round 1,022624f0-3a98-4195-ac9d-9e22d2e96fbb,170419,175551.0,Realmies,6,,2,,5,,1,,4,,6,,,hii,2,3,,3,4,,,6,,,6,,
5,Round 1,0232e5df-086f-4c97-8695-f37d2ad569cf,171668,182374.0,Wagmi's Mages,,7,,7,,7,,7,,7,7,,,Chanchulín,,7,,5,,6,,3,,3,5,,
6,Round 1,0343a187-d507-4e90-b137-071fcc685c46,180220,174894.0,Vitamin C,,3,,2,,5,,6,,5,2,,,kinkai4,4,1,3,4,1,,,,,,4,,
7,Round 1,0363316a-f316-43a4-bffc-d9cdee3048ac,180742,175562.0,Portal Mages 3,5,,4,,8,,1,,6,,4,,,ninni,1,1,1,2,3,,,,,,1,,
8,Round 1,04b2c6a1-df7b-43fe-be79-dcde7646356d,180195,176898.0,M,,,4,,,5,5,,6,5,5,,,Cleavoors,3,7,,3,5,,,2,,,2,,
9,Round 1,0568241f-0cb1-4510-9aed-8d0f95ef1259,182274,171042.0,Ponele Voluntá,,3,,2,,6,,1,,3,6,,,Super 5,5,,2,,2,,3,,1,,5,,
10,Round 1,0586647a-e5ee-4986-85ef-453b5437e5e2,171773,175136.0,sGANG,,8,,3,,7,,6,,1,7,,,EVG,,4,,7,,5,,1,,1,5,,
11,Round 1,05877d85-abb5-4680-8216-0222b771dce5,175459,172578.0,WebVR,1,,3,,1,,5,,8,,5,,,CHRONOS - Specter Squadron6,,4,,4,,1,,7,,1,1,,
12,Round 1,05d93c73-fe71-4bd6-b1c6-02919716684d,176060,,Wagmi's Revenge,,7,,6,,7,,7,,7,7,,,,,,,,,,,,,,,,
13,Round 1,0614d85c-666f-47f9-85e6-5e35017dba0a,169885,177779.0,TheOtherTeam1,,1,,8,,3,,2,,1,2,,,aavegotch1-normie-8,,4,,5,,5,,5,,1,5,,
14,Round 1,063461db-969d-4a48-b669-686a08f0f86a,181968,172569.0,SlickC,,,4,,,6,5,,1,1,5,,,CHRONOS - Specter Squadron 3,8,,6,,5,,8,,3,,8,,
15,Round 1,0657fe76-977e-4bdf-9335-5229a787e8e4,180358,182200.0,FR4,3,,8,,1,,7,,5,,3,,,Team name,1,,1,,7,,3,,6,,3,,
16,Round 1,06cf7eb1-1134-43ae-86c6-15b5a7990946,182463,181358.0,samie 05,,4,,2,,5,,1,,6,5,,,Portal Mages 29,5,,1,,5,,3,,3,,5,,
17,Round 1,06e28136-3775-4292-ac19-ba5158a773ee,178359,175137.0,(  ͡° ͜ʖ ͡° ),2,,4,,2,,5,,6,,4,,,EVG,,8,,4,,1,,3,,5,5,,
18,Round 1,077cc170-155c-4c3c-9851-5af163b133e4,171313,181263.0,DELTA GOTCHI,1,,1,,1,,6,,3,,1,,,Portal Mages 30,8,,7,,8,,1,,1,,1,,
19,Round 1,078a7498-87fb-4e3c-b462-cc13c5382ed7,180109,172819.0,RUN06,5,5,5,5,5,,,,,,5,,,666666666666666666666666666,3,1,5,4,4,,,,,,3,,
20,Round 1,080f8ea9-7fcd-4734-b6e8-8556f8611bcf,178163,175140.0,CG1,,,4,,,3,7,,7,3,3,,,EVG,,3,,8,,5,,3,,8,5,,
21,Round 1,0955dd4a-4e3c-4165-ada7-054145f1a678,181311,,Macaroon,,,6,,,1,6,,5,1,6,,,,,,,,,,,,,,,,
