,Round Name,Battle ID,Team 1 ID,Team 2 ID,Team 1 Team Name,Team 1 front1 Gotchi Special ID,Team 1 front2 Gotchi Special ID,Team 1 front3 Gotchi Special ID,Team 1 front4 Gotchi Special ID,Team 1 front5 Gotchi Special ID,Team 1 back1 Gotchi Special ID,Team 1 back2 Gotchi Special ID,Team 1 back3 Gotchi Special ID,Team 1 back4 Gotchi Special ID,Team 1 back5 Gotchi Special ID,Team 1 leader Gotchi Special ID,Team 1 sub1 Gotchi Special ID,Team 1 sub2 Gotchi Special ID,Team 2 Team Name,Team 2 front1 Gotchi Special ID,Team 2 front2 Gotchi Special ID,Team 2 front3 Gotchi Special ID,Team 2 front4 Gotchi Special ID,Team 2 front5 Gotchi Special ID,Team 2 back1 Gotchi Special ID,Team 2 back2 Gotchi Special ID,Team 2 back3 Gotchi Special ID,Team 2 back4 Gotchi Special ID,Team 2 back5 Gotchi Special ID,Team 2 leader Gotchi Special ID,Team 2 sub1 Gotchi Special ID,Team 2 sub2 Gotchi Special ID
0,Round 2,001d402d-b7b0-4a1d-9f55-64b5dcbe64b6,170541,181501,Mari Ja Wana,,,,,,7,7,7,7,7,7,,,oh my,,4,,4,,5,,1,,1,1,,
1,Round 2,002d29c3-dbcc-4f8f-8ab4-1c369f03e163,175140,171367,EVG,,3,,8,,5,,3,,8,5,,,Choyna's Chaamps,,2,,5,,8,,6,,3,2,,
2,Round 2,013e2a3b-0b01-4d32-9150-0983f8099baa,169679,180267,Nerd Alert!,,4,,8,,5,,5,,5,4,,,AB4,,7,,1,,7,,7,,7,7,,
3,Round 2,024e660f-f340-43c7-8c91-086451f5a31d,179724,171972,Kulalongis™ 1,,5,,5,,2,,5,,5,2,,,Aavegotchi team 8,1,8,5,5,3,,,,,,5,,
4,Round 2,031de2a8-fbba-4408-b979-6bdc2ad9b15a,171187,176196,The A-Team,3,,3,,3,,7,,5,,3,,,Random,,4,,6,,5,,2,,3,5,,
5,Round 2,03b41455-6b46-491c-be0a-d8da9fd8d80a,170338,171311,jhugfdzsfgyj,,,5,,,7,5,,7,7,7,,,TeamGG,,,4,,,2,3,,1,8,2,,
6,Round 2,04e476c3-d122-4ff8-b0f7-0664e1eaad34,169624,173035,Take out the Trash,,,2,,,5,1,,7,8,5,,,Wooty,,2,,3,,3,,2,,7,3,,
7,Round 2,06d2107f-2c18-429b-967f-2f85eb288e66,171540,177367,NoFuturistic,8,5,2,5,2,,,,,,8,,,EVG,6,,6,,2,,7,,7,,6,,
8,Round 2,06ebf8ed-11a4-44c1-8774-b02880e79f4f,171231,175111,Sandro 11,5,5,8,3,6,,,,,,5,,,EVG,,5,,7,,5,,7,,3,5,,
9,Round 2,07e80826-f847-4694-82d3-16a70b055e3d,175710,178101,Wizardry Legion 2,,7,,3,,7,,7,,4,7,,,RATKALS,,4,,1,,6,,2,,6,6,,
10,Round 2,0a0028a4-90a7-4345-9248-58f58b508eee,171227,178941,Sandro 7,,4,,4,,7,,6,,7,7,,,Tripel,,2,,7,,1,,6,,4,4,,
11,Round 2,0a64676f-bf62-4b51-8fd8-c520b5f73a11,175456,182260,Najem2,4,,2,,8,,1,,3,,2,,,Trolo,,,4,,,6,8,,3,8,4,,
12,Round 2,0aace7a0-9b8e-4319-a657-357cd9ec2d4d,182235,172082,Majichinhos,,7,,4,,7,,7,,7,7,,,Silents B team,,3,,3,,6,,1,,6,6,,
13,Round 2,0b4a2a0f-e73a-4bf4-9ff5-6cd720df7e32,169675,172364,Singer 5,,5,,4,,5,,6,,5,5,,,Boo Bouh,,1,,2,,7,,7,,7,2,,
14,Round 2,0d3a9039-491f-4da8-9eef-68db53a9dd5e,182337,171480,kom3,,,,,,6,7,8,3,2,6,,,Supreme B Team,,4,,2,,3,,6,,6,4,,
15,Round 2,10a6ad2d-bfc8-4e29-9f0d-ea58a1e3c6ab,172992,180444,[HCF] Homer D Poe Apes,3,3,3,3,3,,,,,,3,,,Gotchima,,4,,8,,7,,6,,7,6,,
16,Round 2,11084651-6ced-40a0-b6ff-d569b32f874b,171728,180195,Wagcritical,,3,,1,,3,,3,,1,3,,,M,,,4,,,5,5,,6,5,5,,
17,Round 2,11880ca1-9306-4bda-ba3e-eee0a2282076,180361,176168,authoritah,5,,2,,4,,7,,2,,2,,,FtB2,,5,,5,,3,,2,,6,2,,
18,Round 2,11f8b616-ab91-4e49-b3c6-71eccb711e50,180364,172378,aye,,8,,8,,3,,5,,1,3,,,Bigi,4,,4,,4,,3,,5,,4,,
19,Round 2,177b84dd-d71a-4f06-873a-3037090facb0,182220,181497,Broza,,4,,4,,1,,8,,3,1,,,nonce,,,,,,7,7,7,7,7,7,,
20,Round 2,1835a851-d19b-4aa6-8b85-f12bc982652c,171963,182278,Aavegotchi team 2,3,7,8,6,7,,,,,,8,,,Lider,,7,,6,,7,,7,,7,7,,
21,Round 2,1843ce6f-1b3d-4eda-af94-cb3e8949bec2,181580,179195,55,7,8,5,7,2,,,,,,7,,,Latvian Gotchi Brothers,2,,7,,7,,6,,1,,2,,
22,Round 2,1926eed1-1bf4-4709-a635-6155354e3231,181724,171222,hig,,4,,4,,2,,3,,3,2,,,Sandro 2,1,1,,3,4,,,6,,,1,,
23,Round 2,198f979c-1c3a-4ec4-9083-0828e43dbd76,175105,180451,EVG,6,,6,,3,,3,,3,,6,,,Gotchirolo,,8,,4,,7,,6,,7,6,,
24,Round 2,1bb927f8-1339-4bce-99c1-7cc87e5a4e57,181531,176169,CryptoGreen9,,2,,1,,7,,3,,6,6,,,King of Fists and Dollars,4,,2,,4,,4,,3,,4,,
25,Round 2,1d57fedc-d85c-494a-8fe2-6e401dba52c6,171467,180220,KINOSA,4,,8,,3,,7,,6,,4,,,Vitamin C,,3,,6,,5,,7,,5,5,,
26,Round 2,1fd3cdaa-b3c4-4b1c-a9f9-b620d7aff795,180363,182329,Kulalongis™ 6,,8,,8,,2,,6,,3,2,,,Scrooger's Syndicate,,4,,6,,1,,6,,7,1,,
27,Round 2,1ffa196f-5560-4332-acf6-73ca387a161c,180436,181113,Gotchiro,,4,,2,,1,,6,,3,6,,,ರ◡ರ,3,3,,3,1,,,4,,,3,,
28,Round 2,1ffc92bd-52d7-407e-b7b6-ae663c162f59,182108,173216,Baby Dont Hurt Me,5,,2,,8,,1,,1,,5,,,LM1,3,5,1,5,5,,,,,,3,,
29,Round 2,219c165a-08cf-40a5-893c-032f65ae291f,180285,180221,Artemida,,7,,7,,7,,7,,7,7,,,Good Guy,,5,,2,,1,,1,,1,5,,
30,Round 2,24ed7ae8-39d3-4926-b063-07e66059c39a,170101,178198,Schnitzelbrigade 1,,4,,4,,8,,6,,3,4,,,B-Roll,,8,,2,,8,,6,,8,8,,
31,Round 2,262ceb67-459b-4bfb-ac7a-395ebbf4951c,180026,180227,Kulalongis™ 3,,8,,7,,7,,6,,7,7,,,Snappi,,7,,7,,8,,8,,5,5,,
32,Round 2,27f977ef-2b07-4c64-80a8-88c9ea99e621,182068,171466,KHUFU,7,,3,,5,,3,,2,,7,,,Ties Squad one,5,3,4,7,3,,,,,,5,,
33,Round 2,287850f1-00d1-4e70-a0c9-cd711cb1dcd8,171966,174973,Aavegotchi team 5,1,3,5,4,6,,,,,,5,,,Dely 7,5,,8,,5,,4,,4,,5,,
34,Round 2,2987266c-adb3-4236-886c-820ab0c32157,180225,181114,Lucky Me,,5,,2,,7,,4,,1,2,,,Portal Mages 14,1,,2,,1,,8,,8,,2,,
35,Round 2,2df8dd7c-2b57-45d5-a332-3d98e8c7307c,182374,170624,Chanchulín,,,,,,6,3,3,5,3,6,,,GOTCHI-HAN2,7,7,6,1,2,,,,,,7,,
36,Round 2,2facb7f6-9795-48ce-8050-48deaf8cdd9f,175116,178247,EVG,,8,,8,,5,,1,,3,5,,,This cannot work,,,,,,3,3,3,3,6,3,,
37,Round 2,30227450-3fb3-4b03-aa0e-2e27a8844bcb,181502,181264,mate,7,3,4,3,3,,,,,,3,,,RUN13,1,1,1,5,6,,,,,,1,,
38,Round 2,318fb956-2e36-4967-bac2-78662632b44b,180125,180217,Misfits Autopilot,,2,,8,,7,,7,,5,5,,,Front rot,,4,,4,,7,,5,,1,4,,
39,Round 2,3192c6f4-c406-47e7-9de6-5695e1da4c1d,169595,172373,Arundo Donax,2,,2,,5,,5,,6,,5,,,sili,,8,,8,,4,,7,,2,8,,
40,Round 2,31ba6151-b037-4695-ad0c-acb704d0e103,175126,169626,EVG,,3,,5,,8,,8,,3,8,,,? EV+,,,2,,,8,1,,3,1,1,,
41,Round 2,334af554-fcd2-4fbf-b3a5-7c1c94fcb068,177386,171752,"Heal the universe, make it a better place",,2,,2,,2,,5,,1,2,,,Wagnoodles,,8,,5,,3,,3,,3,5,,
42,Round 2,3373e8ba-17c6-462c-a2dd-6658e1dcb78e,181246,171021,RUN12,5,,3,,3,,3,,5,,3,,,Super 2,,6,,7,,5,,1,,3,5,,
43,Round 2,3425f492-2bf9-4509-9fe4-7f8901a12bea,178317,181464,eek,,,,,,3,3,3,7,7,3,,,aLLOW,2,6,,2,2,,,4,,,6,,
44,Round 2,34fb0d65-9c76-4163-bb71-c2e7c8ae5c37,169613,174718,Dice,,,,,,7,8,6,7,7,7,,,GFA 10,,,,,,1,3,1,4,6,6,,
45,Round 2,353d7d67-f2f9-433e-aa60-9362a52c5731,181046,174794,dadasd,,7,,8,,5,,8,,5,5,,,FtB,1,5,,8,1,,,6,,,1,,
46,Round 2,3554d8da-4e58-4f36-a675-6806a015607b,178365,182124,Fluffy Pancakes,,,4,,,7,6,,1,3,6,,,poor1,,2,,2,,1,,5,,5,1,,
47,Round 2,35ea6e78-fe67-49a3-9571-2d91e7dd1c54,181310,171277,Portal Mages 24,1,,1,,8,,5,,6,,5,,,Ghost squad,,,7,,,8,2,,4,3,2,,
48,Round 2,377bd816-0414-4c9d-8a5e-95b5e9d47e1b,171702,172348,Wagmi's Essence,6,1,,5,5,,,4,,,6,,,Volcano High,1,,3,,1,,1,,6,,1,,
49,Round 2,379c4e7e-5936-47ba-94a4-ac56f3b74084,176898,172194,Cleavoors,3,7,,3,5,,,2,,,2,,,stamina,3,,4,,8,,7,,7,,4,,
50,Round 2,397c472a-c165-435a-bc0f-93faee695def,170081,177906,ASHIGARU BLADE,,1,,1,,1,,1,,5,1,,,OG,,7,,7,,1,,1,,8,1,,
51,Round 2,397f85d7-4630-4cb3-b441-8d5f2963bdb5,172083,181916,Silents C team,,3,,3,,6,,1,,5,6,,,Team Last Minute,,,,,,8,3,6,3,8,6,,
