Round Name,Battle ID,Team 1 ID,Team 2 ID,Team 1 Team Name,Team 1 front1 Gotchi Special ID,Team 1 front2 Gotchi Special ID,Team 1 front3 Gotchi Special ID,Team 1 front4 Gotchi Special ID,Team 1 front5 Gotchi Special ID,Team 1 back1 Gotchi Special ID,Team 1 back2 Gotchi Special ID,Team 1 back3 Gotchi Special ID,Team 1 back4 Gotchi Special ID,Team 1 back5 Gotchi Special ID,Team 1 leader Gotchi Special ID,Team 1 sub1 Gotchi Special ID,Team 1 sub2 Gotchi Special ID,Team 2 Team Name,Team 2 front1 Gotchi Special ID,Team 2 front2 Gotchi Special ID,Team 2 front3 Gotchi Special ID,Team 2 front4 Gotchi Special ID,Team 2 front5 Gotchi Special ID,Team 2 back1 Gotchi Special ID,Team 2 back2 Gotchi Special ID,Team 2 back3 Gotchi Special ID,Team 2 back4 Gotchi Special ID,Team 2 back5 Gotchi Special ID,Team 2 leader Gotchi Special ID,Team 2 sub1 Gotchi Special ID,Team 2 sub2 Gotchi Special ID
round4,44ea91ff-54b7-4ee0-8941-a408b61cd068,171707,180250,Wagmi's Stunners,,7,,7,,7,,7,,7,7,,,Jaason,,4,,4,,3,,3,,1,4,,
round4,46993fc1-7c5b-48dc-9432-b301abb817c1,170792,172994,BB7,5,,6,,3,,7,,7,,7,,,Nine,5,,3,,3,,2,,7,,3,,
round4,4833a4aa-3eb8-44d2-ab8c-335498bdae3e,182141,180358,Chamallow 2,,,6,,,6,1,,1,7,6,,,FR4,3,,8,,1,,7,,5,,3,,
round4,49f6736b-b098-49c4-908c-546f1952bb92,180222,172599,Rambo,,8,,3,,1,,4,,6,1,,,Noss,8,,5,,5,,3,,7,,3,,
round4,4ca2c42f-d16a-4709-8337-ee0664b19cd0,181874,174237,NGMI Far,,,,,,3,5,2,4,7,3,,,GFA 6,3,,1,,2,,3,,7,,2,,
round4,5055b9d4-4500-4d4b-88fc-e86df8e656d6,172364,172272,Boo Bouh,,1,,2,,7,,7,,7,2,,,km,8,,6,,8,,8,,8,,8,,
round4,50c19cf2-c27e-47ca-aba4-318661b6b660,182217,179515,Fenosas,,4,,4,,2,,6,,2,6,,,The Unicorn,4,,5,,1,,3,,6,,4,,
round4,5236c9d4-668e-4060-bc07-a6ba3b76539b,178264,178587,The worst troll team you'll ever gonna meet,,2,,6,,8,,8,,8,8,,,confused team,3,,6,,1,,4,,4,,4,,
round4,535a05c4-26ef-4654-805e-7ae980ce867c,172986,179294,NADIELATORS,5,,7,,3,,8,,4,,5,,,Ringo's Starrs,,2,,5,,1,,4,,1,1,,
round4,537b43a2-ffe8-4471-8eb3-72f690820570,172993,171915,[HCF] waste of space,2,,5,,2,,4,,5,,2,,,Tommy Gotchi 2.0,,2,,2,,3,,3,,6,3,,
round4,538437ef-2a3f-4cdb-9b6d-52c7b8651f11,181189,172430,RUN07,2,,4,,2,,6,,6,,6,,,eSveeGotchi,2,,3,,7,,3,,5,,2,,
round4,5c92dc45-57bd-49e9-ac73-c8878b043790,181535,172274,CryptoGreen11,,2,,4,,7,,6,,7,6,,,ki,,1,,1,,1,,1,,4,1,,
round4,5d3fefd7-0f8f-46b2-8f82-56939180d0d9,181546,180354,CryptoGreen14,,,,,,7,8,4,5,8,5,,,More Fuckin trolls,8,8,,8,5,,,6,,,8,,
round4,60d26008-ef55-4aad-8a92-1af5b82f73f3,181501,173150,oh my,,4,,4,,5,,1,,1,1,,,Supreme Pablo's,,4,,5,,5,,6,,3,6,,
round4,64263a52-e95d-4857-8b05-66e9365537e1,171241,171921,sltcv,,,4,,,7,3,,5,8,5,,,Vici 1,,1,,5,,3,,7,,8,1,,
round4,64aba7e2-7770-4ee2-8542-5085880da66f,182124,174848,poor1,,2,,2,,1,,5,,5,1,,,dead first round,,,,,,1,5,4,5,1,1,,
round4,651e3825-6865-41ac-919c-4eb5bb2066d7,181531,172273,CryptoGreen9,,2,,1,,7,,3,,6,6,,,mk,8,4,8,8,8,,,,,,8,,
round4,6c6cb511-2742-4627-911b-322e89f1f549,182274,177773,Ponele Voluntá,,3,,2,,6,,1,,3,6,,,aavegotch1-normie-2,,4,,5,,1,,1,,5,5,,
